name	pubmedid	pubmedcid	link
K-RET	37018156	PMC10112952	fulltexts/PMC10112952.xml
RESISTOR	37115667	PMC10173857	fulltexts/PMC10173857.xml
Met4DX	37002244	PMC10066191	fulltexts/PMC10066191.xml
DIGGER-Bac	37086442	PMC10172035	fulltexts/PMC10172035.xml
SAI-10k-calc	37021934	PMC10125908	fulltexts/PMC10125908.xml
Haplogrep	37070190	PMC10320078	fulltexts/PMC10320078.xml
JBrowse 2	37069644	PMC10108523	fulltexts/PMC10108523.xml
VSFlow	37004101	PMC10064649	fulltexts/PMC10064649.xml
pycoMeth	37081487	PMC10120131	fulltexts/PMC10120131.xml
darfix	37000183	PMC10161887	fulltexts/PMC10161887.xml
DEGGs	37084249	PMC10133399	fulltexts/PMC10133399.xml
MRF	37072853	PMC10111743	fulltexts/PMC10111743.xml
PoET	36700098	PMC9710609	fulltexts/PMC9710609.xml
Pocket Concavity	37086438	PMC10148677	fulltexts/PMC10148677.xml
devCCNP	37604823	PMC10442366	fulltexts/PMC10442366.xml
NAFLD	37051599	PMC10083285	fulltexts/PMC10083285.xml
Surface ID	37067488	PMC10133531	fulltexts/PMC10133531.xml
primerdiffer	37067484	PMC10121334	fulltexts/PMC10121334.xml
BiotechLec	37083961	PMC10627245	fulltexts/PMC10627245.xml
SPEADI	37106781	PMC10135740	fulltexts/PMC10135740.xml
dPCP	37086434	PMC10168580	fulltexts/PMC10168580.xml
DEEPCYPs	37101544	PMC10123292	fulltexts/PMC10123292.xml
DynaSig-ML	37079725	PMC10130421	fulltexts/PMC10130421.xml
APAIQ	37117035	PMC10234309	fulltexts/PMC10234309.xml
Genealyzer	37069540	PMC10111666	fulltexts/PMC10111666.xml
SmoothT	37018142	PMC10121331	fulltexts/PMC10121331.xml
CD-CODE	37024650	PMC10172118	fulltexts/PMC10172118.xml
CoDe	36698765	PMC9832946	fulltexts/PMC9832946.xml
DomainATM	36610676	PMC9908850	fulltexts/PMC9908850.xml
PAA - Protein Array Analyzer	26803161	PMC4866526	fulltexts/PMC4866526.xml
vERnet-B	36593954	PMC9800725	fulltexts/PMC9800725.xml
NucEnvDB	36676869	PMC9861991	fulltexts/PMC9861991.xml
B-LacFamPred	36713195	PMC9878453	fulltexts/PMC9878453.xml
MetaShot	NA	PMC5447231	fulltexts/PMC5447231.xml
AtomicChargeCalculator	NA	PMC4613891	fulltexts/PMC4613891.xml
BC_Intrinsic_subtyping	NA	PMC7442834	fulltexts/PMC7442834.xml
Hapo-G	NA	PMC8092372	fulltexts/PMC8092372.xml
VirusLab	35822801	PMC9245481	fulltexts/PMC9245481.xml
pyM2aia	NA	PMC8290197	fulltexts/PMC8290197.xml
GeneNetFusion	33712625	PMC7955132	fulltexts/PMC7955132.xml
genereg	34837938	PMC8626902	fulltexts/PMC8626902.xml
CoNI	36699352	PMC9710706	fulltexts/PMC9710706.xml
AlphaFill	36424442	PMC9911346	fulltexts/PMC9911346.xml
PDB-REDO databank	25352545	PMC4383885	fulltexts/PMC4383885.xml
PDB-REDO databank	21071423	PMC3013697	fulltexts/PMC3013697.xml
PDB-REDO databank	19171973	PMC2631631	fulltexts/PMC2631631.xml
PDB-REDO databank	22505269	PMC3322608	fulltexts/PMC3322608.xml
PDB-REDO databank	22477769	PMC3246819	fulltexts/PMC3246819.xml
PDB-REDO databank	27710932	PMC5053137	fulltexts/PMC5053137.xml
PDB-REDO databank	22034521	PMC3232375	fulltexts/PMC3232375.xml
SegMetrics	NA	PMC4029039	fulltexts/PMC4029039.xml
SRplot	37943830	PMC10635526	fulltexts/PMC10635526.xml
celltrackR	37034276	PMC10079262	fulltexts/PMC10079262.xml
mitoSplitter	37725654	PMC10523499	fulltexts/PMC10523499.xml
clusterMaker2	37020209	PMC10074866	fulltexts/PMC10074866.xml
uTR	37039842	PMC10118999	fulltexts/PMC10118999.xml
FIPRESCI	37024957	PMC10078054	fulltexts/PMC10078054.xml
FIPRESCI	37085832	PMC10122391	fulltexts/PMC10122391.xml
BarleyExpDB	37003963	PMC10064564	fulltexts/PMC10064564.xml
TFBMiner	37053505	PMC10204090	fulltexts/PMC10204090.xml
iKsak	37065122	PMC10098151	fulltexts/PMC10098151.xml
ACDA	37113249	PMC10125903	fulltexts/PMC10125903.xml
swga2_0	37068103	PMC10138271	fulltexts/PMC10138271.xml
EasyReg	37095168	PMC10126156	fulltexts/PMC10126156.xml
GBC	37069653	PMC10108510	fulltexts/PMC10108510.xml
exFINDER	37026478	PMC10250247	fulltexts/PMC10250247.xml
NetGO 3.0	37075830	PMC10626176	fulltexts/PMC10626176.xml
inestedcv	37113250	PMC10125905	fulltexts/PMC10125905.xml
StoryboardR	36632327	PMC9825731	fulltexts/PMC9825731.xml
Redundans	27131372	PMC4937319	fulltexts/PMC4937319.xml
JLOH	NA	PMC10708961	fulltexts/PMC10708961.xml
Lagrange-NG	36705582	PMC10198646	fulltexts/PMC10198646.xml
beeRapp	36699414	PMC9710645	fulltexts/PMC9710645.xml
ABSP	36629453	PMC9846423	fulltexts/PMC9846423.xml
MAST	36699399	PMC9744439	fulltexts/PMC9744439.xml
MiCellAnnGELo	36629475	PMC9869652	fulltexts/PMC9869652.xml
nf-core circrna	36694127	PMC9875403	fulltexts/PMC9875403.xml
RawHash	37387139	PMC10311405	fulltexts/PMC10311405.xml
PPNet	36602356	PMC9927313	fulltexts/PMC9927313.xml
AbAgIntPre	36618397	PMC9813736	fulltexts/PMC9813736.xml
Evidente	36699377	PMC9710622	fulltexts/PMC9710622.xml
NiftyPAD	36622500	PMC10085912	fulltexts/PMC10085912.xml
xAtlas	36644891	PMC9841152	fulltexts/PMC9841152.xml
CNN6mA	36659917	PMC9826936	fulltexts/PMC9826936.xml
ENCD	36653322	PMC9849115	fulltexts/PMC9849115.xml
DeepMPF	36698208	PMC9876420	fulltexts/PMC9876420.xml
GSEL	36655767	PMC9879724	fulltexts/PMC9879724.xml
MS1Connect	36702456	PMC9913042	fulltexts/PMC9913042.xml
MODalyseR	36699378	PMC9710626	fulltexts/PMC9710626.xml
Synaptome.db	36699346	PMC9710567	fulltexts/PMC9710567.xml
GBCdb	36624399	PMC9830852	fulltexts/PMC9830852.xml
LIQUORICE	36699368	PMC9710688	fulltexts/PMC9710688.xml
protti	36699412	PMC9710675	fulltexts/PMC9710675.xml
mapache	36637197	PMC9901408	fulltexts/PMC9901408.xml
KOMPUTE	37565237	PMC10409646	fulltexts/PMC10409646.xml
Gdaphen	36703114	PMC9878791	fulltexts/PMC9878791.xml
CONTRABASS	36692133	PMC9907045	fulltexts/PMC9907045.xml
AbAdapt	36699363	PMC9710585	fulltexts/PMC9710585.xml
ProteomicsML	36693629	PMC9903315	fulltexts/PMC9903315.xml
TCMSID	36587232	PMC9805110	fulltexts/PMC9805110.xml
CCWeights	36700106	PMC9710652	fulltexts/PMC9710652.xml
Cucume	36698975	PMC9842799	fulltexts/PMC9842799.xml
CATHAI	36699387	PMC9710666	fulltexts/PMC9710666.xml
PeruNPDB	37165197	PMC10170056	fulltexts/PMC10170056.xml
ProFeatX	36698978	PMC9842958	fulltexts/PMC9842958.xml
BADASS	36670373	PMC9854158	fulltexts/PMC9854158.xml
sbml2hyb	36661327	PMC9889961	fulltexts/PMC9889961.xml
MethylC-analyzer	36607439	PMC9823188	fulltexts/PMC9823188.xml
FastContext	36694721	PMC9837158	fulltexts/PMC9837158.xml
IML-TYLCVs	36930763	PMC10013792	fulltexts/PMC10013792.xml
aromatase-related	36989252	PMC10057777	fulltexts/PMC10057777.xml
ProDESIGN-LE	36916746	PMC10027430	fulltexts/PMC10027430.xml
Con-AAE	36975610	PMC10101696	fulltexts/PMC10101696.xml
Visual Dynamics	36949402	PMC10031864	fulltexts/PMC10031864.xml
BrcaDx	37287543	PMC10242386	fulltexts/PMC10242386.xml
CVD22	36965300	PMC10023204	fulltexts/PMC10023204.xml
TopEnzyme	36883717	PMC10023222	fulltexts/PMC10023222.xml
Phenonaut	36944259	PMC10068743	fulltexts/PMC10068743.xml
PaliDIS4	36897935	PMC10132078	fulltexts/PMC10132078.xml
SER	36919015	PMC10008288	fulltexts/PMC10008288.xml
SRTsim	36869394	PMC9983268	fulltexts/PMC9983268.xml
DOLPHIN	36896423	PMC9990413	fulltexts/PMC9990413.xml
IMC-Denoise	36959190	PMC10036333	fulltexts/PMC10036333.xml
OliveAtlas	36986964	PMC10053119	fulltexts/PMC10053119.xml
MangoBase	36986961	PMC10058708	fulltexts/PMC10058708.xml
POSMM	36890583	PMC9993663	fulltexts/PMC9993663.xml
GENESPACE	NA	PMC9462846	fulltexts/PMC9462846.xml
MrBayes	22357727	PMC3329765	fulltexts/PMC3329765.xml
VAPOR	31693070	PMC7703727	fulltexts/PMC7703727.xml
Structure	18784791	PMC1974779	fulltexts/PMC1974779.xml
SNAP	15144565	PMC421630	fulltexts/PMC421630.xml
seqkit	27706213	PMC5051824	fulltexts/PMC5051824.xml
Roary	26198102	PMC4817141	fulltexts/PMC4817141.xml
Recentrifuge	30958827	PMC6472834	fulltexts/PMC6472834.xml
RAxML	24451623	PMC3998144	fulltexts/PMC3998144.xml
quickmerge	30018084	PMC6169397	fulltexts/PMC6169397.xml
PhyML	15980534	PMC1160113	fulltexts/PMC1160113.xml
OrthoFinder	26243257	PMC4531804	fulltexts/PMC4531804.xml
Newick Utilities	20472542	PMC2887050	fulltexts/PMC2887050.xml
Mykrobe	32055708	PMC7004237	fulltexts/PMC7004237.xml
MetaEuk	32245390	PMC7126354	fulltexts/PMC7126354.xml
Mash	27323842	PMC4915045	fulltexts/PMC4915045.xml
MAKER	22192575	PMC3280279	fulltexts/PMC3280279.xml
lineagespot	35177697	PMC8854625	fulltexts/PMC8854625.xml
InterProScan (EBI)	24451626	PMC3998142	fulltexts/PMC3998142.xml
InterProScan (EBI)	35412617	PMC9252731	fulltexts/PMC9252731.xml
Gubbins	25414349	PMC4330336	fulltexts/PMC4330336.xml
GOseq	20132535	PMC2872874	fulltexts/PMC2872874.xml
GEMINI	23874191	PMC3715403	fulltexts/PMC3715403.xml
FastTree	19377059	PMC2693737	fulltexts/PMC2693737.xml
FastTree	20224823	PMC2835736	fulltexts/PMC2835736.xml
antiSMASH	21672958	PMC3125804	fulltexts/PMC3125804.xml
antiSMASH	23737449	PMC3692088	fulltexts/PMC3692088.xml
antiSMASH	25948579	PMC4489286	fulltexts/PMC4489286.xml
antiSMASH	28460038	PMC5570095	fulltexts/PMC5570095.xml
antiSMASH	33152079	PMC7779067	fulltexts/PMC7779067.xml
dada2	27214047	PMC4927377	fulltexts/PMC4927377.xml
CEMiTool	29458351	PMC5819234	fulltexts/PMC5819234.xml
Bandage	26099265	PMC4595904	fulltexts/PMC4595904.xml
ABySS	28232478	PMC5411771	fulltexts/PMC5411771.xml
V-pipe	33471068	PMC8289377	fulltexts/PMC8289377.xml
V-pipe	29757994	PMC5977249	fulltexts/PMC5977249.xml
V-pipe	30835266	PMC8289377	fulltexts/PMC8289377.xml
V-pipe	32794443	PMC7427299	fulltexts/PMC7427299.xml
V-pipe	34488035	PMC8452947	fulltexts/PMC8452947.xml
V-pipe	33802899	PMC8002591	fulltexts/PMC8002591.xml
VSEARCH	27781170	PMC5075697	fulltexts/PMC5075697.xml
fastp	NA	PMC6129281	fulltexts/PMC6129281.xml
Kraken2Tax	NA	PMC4053813	fulltexts/PMC4053813.xml
REAGO	26072503	PMC4765874	fulltexts/PMC4765874.xml
Pharokka	36453861	PMC9805569	fulltexts/PMC9805569.xml
dastool	29807988	PMC6786971	fulltexts/PMC6786971.xml
FragGeneScan	20805240	PMC2978382	fulltexts/PMC2978382.xml
Unicycler	28594827	PMC5481147	fulltexts/PMC5481147.xml
SpoTyping	26883915	PMC4756441	fulltexts/PMC4756441.xml
RSeQC	NA	PMC4739097	fulltexts/PMC4739097.xml
Minia	NA	PMC3974045	fulltexts/PMC3974045.xml
MetaPhlAn	NA	PMC3443552	fulltexts/PMC3443552.xml
metagenomeSeq	NA	PMC4010126	fulltexts/PMC4010126.xml
Krona	21961884	PMC3190407	fulltexts/PMC3190407.xml
khmer	NA	PMC4111482	fulltexts/PMC4111482.xml
HMMER3	21593126	PMC3125773	fulltexts/PMC3125773.xml
HMMER3	22039361	PMC3197634	fulltexts/PMC3197634.xml
HMMER3	23598997	PMC3695513	fulltexts/PMC3695513.xml
HMMER3	29905871	PMC6030962	fulltexts/PMC6030962.xml
ALDEx2	24910773	PMC4030730	fulltexts/PMC4030730.xml
minipolish	31984131	PMC6966772	fulltexts/PMC6966772.xml
MEA	NA	PMC6003194	fulltexts/PMC6003194.xml
Meryl	NA	PMC7488777	fulltexts/PMC7488777.xml
Lighter	25398208	PMC4248469	fulltexts/PMC4248469.xml
MAFFT	NA	PMC6041967	fulltexts/PMC6041967.xml
MAFFT	NA	PMC6781576	fulltexts/PMC6781576.xml
MAFFT	23329690	PMC3603318	fulltexts/PMC3603318.xml
MAFFT	15661851	PMC548345	fulltexts/PMC548345.xml
UTRdb	NA	PMC2808995	fulltexts/PMC2808995.xml
affy	27605027	PMC5003452	fulltexts/PMC5003452.xml
DeepNeo	37070174	PMC10320182	fulltexts/PMC10320182.xml
CARDShark	37079891	PMC10118295	fulltexts/PMC10118295.xml
SARS2Mutant	37101659	PMC10124966	fulltexts/PMC10124966.xml
iIL13Pred	37041520	PMC10088697	fulltexts/PMC10088697.xml
eccBase	37114214	PMC10126927	fulltexts/PMC10126927.xml
TumorHPD	23558316	PMC3617442	fulltexts/PMC3617442.xml
Flye	31483244	PMC6807382	fulltexts/PMC6807382.xml
SeMPI	33383692	PMC7823522	fulltexts/PMC7823522.xml
GET_HOMOLOGUES	28261241	PMC5306281	fulltexts/PMC5306281.xml
pyDockSAXS	25897115	PMC4489248	fulltexts/PMC4489248.xml
NbThermo	37042467	PMC10091358	fulltexts/PMC10091358.xml
AMMPDB	37120901	PMC10172712	fulltexts/PMC10172712.xml
bHiTAIC	37089814	PMC10113876	fulltexts/PMC10113876.xml
QuNex	37090033	PMC10113546	fulltexts/PMC10113546.xml
HaploCoV	37087497	PMC10122080	fulltexts/PMC10122080.xml
POInTsubbrowse sub	37106333	PMC10134530	fulltexts/PMC10134530.xml
pyPheWAS Explorer	37021295	PMC10070037	fulltexts/PMC10070037.xml
FORECAST	37084251	PMC10182853	fulltexts/PMC10182853.xml
AtlasXploreTM	37478350	PMC10394123	fulltexts/PMC10394123.xml
iDHU-Ensem	37009307	PMC10064468	fulltexts/PMC10064468.xml
EBV-GCR	37112833	PMC10145221	fulltexts/PMC10145221.xml
MTSviewer	37093842	PMC10124841	fulltexts/PMC10124841.xml
Schema Playground	37081398	PMC10116472	fulltexts/PMC10116472.xml
Phy5	37079522	PMC10118083	fulltexts/PMC10118083.xml
POIROT	37067493	PMC10148680	fulltexts/PMC10148680.xml
transXpress	37016291	PMC10074830	fulltexts/PMC10074830.xml
Epilepsy Ontology	37016683	PMC10067149	fulltexts/PMC10067149.xml
CompaCt	37549177	PMC10434966	fulltexts/PMC10434966.xml
DRAVP	37112801	PMC10141206	fulltexts/PMC10141206.xml
Dandelion	37055623	PMC10791579	fulltexts/PMC10791579.xml
twas_sim	37099718	PMC10172036	fulltexts/PMC10172036.xml
BLAZE	37024980	PMC10077662	fulltexts/PMC10077662.xml
springer	37091810	PMC10117642	fulltexts/PMC10117642.xml
JASPER	37000853	PMC10096238	fulltexts/PMC10096238.xml
PPML	37004080	PMC10064562	fulltexts/PMC10064562.xml
DNAfusion	37016288	PMC10074784	fulltexts/PMC10074784.xml
PAReTT	37079046	PMC10277261	fulltexts/PMC10277261.xml
RNAcanvas	37094080	PMC10320051	fulltexts/PMC10320051.xml
bootRanges	37042725	PMC10159650	fulltexts/PMC10159650.xml
DeepAlloDriver	37078611	PMC10320081	fulltexts/PMC10320081.xml
PDC	37010520	PMC10069377	fulltexts/PMC10069377.xml
RNAlysis	37024838	PMC10080885	fulltexts/PMC10080885.xml
pSCoPE	37012480	PMC10172113	fulltexts/PMC10172113.xml
CircPCBL	37111874	PMC10143888	fulltexts/PMC10143888.xml
streammd	37027230	PMC10112951	fulltexts/PMC10112951.xml
PlasMapper 3.0	37099365	PMC10320132	fulltexts/PMC10320132.xml
idTarget	22649057	PMC3394295	fulltexts/PMC3394295.xml
Morphoscanner2.0	37104393	PMC10138828	fulltexts/PMC10138828.xml
MINT	22096227	PMC3244991	fulltexts/PMC3244991.xml
MINT	24234451	PMC3965093	fulltexts/PMC3965093.xml
MINT	19897547	PMC2808973	fulltexts/PMC2808973.xml
Esearch3D	37021559	PMC10250221	fulltexts/PMC10250221.xml
SLEMM	36897019	PMC10039786	fulltexts/PMC10039786.xml
excluderanges	37067481	PMC10126321	fulltexts/PMC10126321.xml
DLA-Ranker	35962985	PMC9525006	fulltexts/PMC9525006.xml
MS Annika	NA	PMC8155564	fulltexts/PMC8155564.xml
MS Annika	NA	PMC10476269	fulltexts/PMC10476269.xml
EvolView	22695796	PMC3394307	fulltexts/PMC3394307.xml
EvolView	27131786	PMC4987921	fulltexts/PMC4987921.xml
ElasticBLAST	36967390	PMC10040096	fulltexts/PMC10040096.xml
FungiProteomeDB	36929177	PMC10019025	fulltexts/PMC10019025.xml
RNAget	36897015	PMC10081869	fulltexts/PMC10081869.xml
RNAget	36897015	PMC10081869	fulltexts/PMC10081869.xml
RNAget	36897015	PMC10081869	fulltexts/PMC10081869.xml
Megan Server	36825821	PMC9991050	fulltexts/PMC9991050.xml
DeepSTABp	37108605	PMC10138888	fulltexts/PMC10138888.xml
SelectBCM	36879900	PMC9985330	fulltexts/PMC9985330.xml
shinyHTGQC	36950141	PMC10027062	fulltexts/PMC10027062.xml
shinyHTGQC	36950141	PMC10027062	fulltexts/PMC10027062.xml
Planet Microbe	32735679	PMC7778950	fulltexts/PMC7778950.xml
Planet Microbe	32735679	PMC7778950	fulltexts/PMC7778950.xml
Galaxy Australia	NA	PMC7319590	fulltexts/PMC7319590.xml
MorphoNet	NA	PMC6597584	fulltexts/PMC6597584.xml
MorphoNet	NA	PMC7145539	fulltexts/PMC7145539.xml
NEREL-BIO	37004189	PMC10129873	fulltexts/PMC10129873.xml
mBONITA	37000949	PMC10167691	fulltexts/PMC10167691.xml
dipwmsearch	37010504	PMC10081870	fulltexts/PMC10081870.xml
PXStools	NA	PMC10114106	fulltexts/PMC10114106.xml
GRaNPA	37073532	PMC10258561	fulltexts/PMC10258561.xml
GRaNIE	37073532	PMC10258561	fulltexts/PMC10258561.xml
ANISEED	NA	PMC5753386	fulltexts/PMC5753386.xml
ANISEED	NA	PMC4702943	fulltexts/PMC4702943.xml
ANISEED	NA	PMC7145539	fulltexts/PMC7145539.xml
ANISEED	NA	PMC7145539	fulltexts/PMC7145539.xml
Ciona robusta Anatomy and Development Ontology	NA	PMC4702943	fulltexts/PMC4702943.xml
CellTrackVis	36991341	PMC10053428	fulltexts/PMC10053428.xml
MineProt	37562062	PMC10414801	fulltexts/PMC10414801.xml
RING-PyMOL	37079739	PMC10159649	fulltexts/PMC10159649.xml
TB-ML	37033466	PMC10074023	fulltexts/PMC10074023.xml
Insplico	37026474	PMC10250204	fulltexts/PMC10250204.xml
GeoBind	37070217	PMC10250245	fulltexts/PMC10250245.xml
APOP	37115636	PMC10185404	fulltexts/PMC10185404.xml
ChemGAPP	37014365	PMC10085634	fulltexts/PMC10085634.xml
smalldisco	37094819	PMC10234390	fulltexts/PMC10234390.xml
WAVES	37018136	PMC10081868	fulltexts/PMC10081868.xml
EBD	37052519	PMC10168589	fulltexts/PMC10168589.xml
pyInfinityFlow	37097893	PMC10166583	fulltexts/PMC10166583.xml
PathogenFinder	NA	PMC3810466	fulltexts/PMC3810466.xml
A2TEA	37224329	PMC10186066	fulltexts/PMC10186066.xml
AutophagyNet	37589496	PMC10761021	fulltexts/PMC10761021.xml
RNAct	30445601	PMC6324028	fulltexts/PMC6324028.xml
DEPIB	30977188	PMC6850038	fulltexts/PMC6850038.xml
DEPIB	NA	PMC6944699	fulltexts/PMC6944699.xml
3SRP	29367672	PMC5783949	fulltexts/PMC5783949.xml
3SRP	29445370	PMC5797797	fulltexts/PMC5797797.xml
3SRP	29116112	PMC5676863	fulltexts/PMC5676863.xml
3SRP	NA	PMC7072876	fulltexts/PMC7072876.xml
3SRP	32438566	PMC7284977	fulltexts/PMC7284977.xml
3SRP	NA	PMC7200824	fulltexts/PMC7200824.xml
SpliceTools	36864749	PMC10123099	fulltexts/PMC10123099.xml
faltwerk	36908399	PMC9998081	fulltexts/PMC9998081.xml
iProm-Sigma54	36980170	PMC10047130	fulltexts/PMC10047130.xml
PhytoOracle	36950362	PMC10025408	fulltexts/PMC10025408.xml
BOMA	36936070	PMC10014309	fulltexts/PMC10014309.xml
PGNneo	36899918	PMC10000440	fulltexts/PMC10000440.xml
ViReMa	36939008	PMC10025937	fulltexts/PMC10025937.xml
spongEffects	37084275	PMC10220456	fulltexts/PMC10220456.xml
MF-PCBA	37058588	PMC10170507	fulltexts/PMC10170507.xml
SynBioTools	37069545	PMC10111727	fulltexts/PMC10111727.xml
FAS	37084276	PMC10185405	fulltexts/PMC10185405.xml
Cellcano	37012226	PMC10070275	fulltexts/PMC10070275.xml
ICAT	37086439	PMC10172037	fulltexts/PMC10172037.xml
methylR	37039839	PMC10125902	fulltexts/PMC10125902.xml
MyGeneset.info	37070209	PMC10481249	fulltexts/PMC10481249.xml
FLEXR	37071395	PMC10167668	fulltexts/PMC10167668.xml
CNV-ClinViewer	37104749	PMC10174702	fulltexts/PMC10174702.xml
OTTERS	36882394	PMC9992663	fulltexts/PMC9992663.xml
Phylobone	37580331	PMC10425349	fulltexts/PMC10425349.xml
PreTP-2L	37010503	PMC10076046	fulltexts/PMC10076046.xml
EasyCellType	36998720	PMC10049754	fulltexts/PMC10049754.xml
FuzPred	36987846	PMC10320189	fulltexts/PMC10320189.xml
AdaLiftOver	37004197	PMC10085516	fulltexts/PMC10085516.xml
Matilda	36912104	PMC10164589	fulltexts/PMC10164589.xml
DiNiro	36879901	PMC9985332	fulltexts/PMC9985332.xml
GenoVi	37014908	PMC10104344	fulltexts/PMC10104344.xml
ProFeatMap	36936371	PMC10023195	fulltexts/PMC10023195.xml
DiSiR	36968431	PMC10034587	fulltexts/PMC10034587.xml
NGenomeSyn	36883694	PMC10027429	fulltexts/PMC10027429.xml
PyAGH	37072709	PMC10111838	fulltexts/PMC10111838.xml
eccDB	37018146	PMC10112955	fulltexts/PMC10112955.xml
MACdb	37027007	PMC10320464	fulltexts/PMC10320464.xml
AcrNET	37084259	PMC10174705	fulltexts/PMC10174705.xml
TrEMOLO	37013657	PMC10069131	fulltexts/PMC10069131.xml
bakR	37028916	PMC10275263	fulltexts/PMC10275263.xml
POSTRE	36999617	PMC10201441	fulltexts/PMC10201441.xml
SwissTree	NA	PMC4524488	fulltexts/PMC4524488.xml
NeddPred	32581647	PMC7290059	fulltexts/PMC7290059.xml
pSuc-EDBAM	36316638	PMC9620660	fulltexts/PMC9620660.xml
PATO	36924420	PMC10049783	fulltexts/PMC10049783.xml
MADAP	17526516	PMC1933235	fulltexts/PMC1933235.xml
ChIP-Seq	NA	PMC5116162	fulltexts/PMC5116162.xml
SNP2TFBS	NA	PMC5210548	fulltexts/PMC5210548.xml
PlaASDB	37106367	PMC10134664	fulltexts/PMC10134664.xml
PyHMMER	37074928	PMC10159651	fulltexts/PMC10159651.xml
AlloReverse	37070199	PMC10320067	fulltexts/PMC10320067.xml
MiSurv	37039671	PMC10269532	fulltexts/PMC10269532.xml
PurificationDB	37010519	PMC10069378	fulltexts/PMC10069378.xml
PSReliP	37020193	PMC10074814	fulltexts/PMC10074814.xml
Quanty-cFOS	36899840	PMC10000431	fulltexts/PMC10000431.xml
CircularSTAR3D	36987885	PMC10201423	fulltexts/PMC10201423.xml
CAFrgDB	36922546	PMC10281871	fulltexts/PMC10281871.xml
CRISPR-Cas-Docker	37098485	PMC10127312	fulltexts/PMC10127312.xml
easyPheno	37066135	PMC10101695	fulltexts/PMC10101695.xml
IMPUTE 5	33196638	PMC7704051	fulltexts/PMC7704051.xml
SHAPEIT5	37386248	PMC10335929	fulltexts/PMC10335929.xml
Pickaxe	36949401	PMC10031857	fulltexts/PMC10031857.xml
ENDURE	37228581	PMC10204868	fulltexts/PMC10204868.xml
nf-core isoseq	36961337	PMC10199315	fulltexts/PMC10199315.xml
UcTCRdb	36993970	PMC10040587	fulltexts/PMC10040587.xml
REDfold	36977986	PMC10044938	fulltexts/PMC10044938.xml
RSCanner	36857576	PMC10017096	fulltexts/PMC10017096.xml
Snapshot	36941541	PMC10026520	fulltexts/PMC10026520.xml
IP4GS	36950355	PMC10025548	fulltexts/PMC10025548.xml
GENESIGNET	36879282	PMC9987115	fulltexts/PMC9987115.xml
peaks2utr	36864613	PMC10008064	fulltexts/PMC10008064.xml
SCARdock	36969452	PMC10034828	fulltexts/PMC10034828.xml
BioExcel Building Blocks tutorials: Protein MD Setup (Amber Version)	31506435	PMC6736963	fulltexts/PMC6736963.xml
BioExcel Building Blocks tutorials: Mutation Free Energy Calculations	31506435	PMC6736963	fulltexts/PMC6736963.xml
BioExcel Building Blocks tutorials: Protein-ligand Docking	31506435	PMC6736963	fulltexts/PMC6736963.xml
BioExcel Building Blocks tutorials: Protein Conformational Transitions	31506435	PMC6736963	fulltexts/PMC6736963.xml
BioExcel Building Blocks tutorials: Molecular Interaction Potentials	31506435	PMC6736963	fulltexts/PMC6736963.xml
BioExcel Building Blocks tutorials: Molecular Structure Checking	31506435	PMC6736963	fulltexts/PMC6736963.xml
PlantLTRdb	36950350	PMC10025401	fulltexts/PMC10025401.xml
MEDIPIPE	37402621	PMC10348834	fulltexts/PMC10348834.xml
SpheroidAnalyseR	36992918	PMC10040300	fulltexts/PMC10040300.xml
scAnnotate	36949780	PMC10027414	fulltexts/PMC10027414.xml
Destin2	36873935	PMC9981783	fulltexts/PMC9981783.xml
KARGVA	36960290	PMC10027697	fulltexts/PMC10027697.xml
GVC	36978010	PMC10044409	fulltexts/PMC10044409.xml
FAMetA	36857618	PMC10025582	fulltexts/PMC10025582.xml
dbAQP-SNP	36913438	PMC10010469	fulltexts/PMC10010469.xml
Cardinal	25777525	PMC4495298	fulltexts/PMC4495298.xml
IMPUTE2	NA	PMC3276165	fulltexts/PMC3276165.xml
IMPUTE2	NA	PMC2689936	fulltexts/PMC2689936.xml
SDM	28525590	PMC5793720	fulltexts/PMC5793720.xml
BioExcel Building Blocks tutorials: Macromolecular Coarse-Grained Flexibility	31506435	PMC6736963	fulltexts/PMC6736963.xml
CFAGO	36883697	PMC10032634	fulltexts/PMC10032634.xml
GoaT	36864925	PMC9971660	fulltexts/PMC9971660.xml
LAVAA	36908397	PMC9998102	fulltexts/PMC9998102.xml
QuantImage	36947346	PMC10033788	fulltexts/PMC10033788.xml
DeepLBCEPred	36910218	PMC9992402	fulltexts/PMC9992402.xml
AFTM	36917599	PMC10013729	fulltexts/PMC10013729.xml
iEnhancer-DCSV	36936423	PMC10014624	fulltexts/PMC10014624.xml
cnnLSV	36977976	PMC10045035	fulltexts/PMC10045035.xml
MAW	36871033	PMC9985203	fulltexts/PMC9985203.xml
CenFind	36977999	PMC10045196	fulltexts/PMC10045196.xml
DrosOmics	36971243	PMC10089646	fulltexts/PMC10089646.xml
ProInfer	36930671	PMC10057851	fulltexts/PMC10057851.xml
StonPy	36897014	PMC10017094	fulltexts/PMC10017094.xml
IPs-GRUAtt	36908648	PMC9968446	fulltexts/PMC9968446.xml
IntelliSleepScorer	36922536	PMC10017698	fulltexts/PMC10017698.xml
HTGQC	36950141	PMC10027062	fulltexts/PMC10027062.xml
HiCube	36961339	PMC10081873	fulltexts/PMC10081873.xml
cgRNASP	36879898	PMC9985339	fulltexts/PMC9985339.xml
